SalesID,SalePrice,MachineID,datasource,auctioneerID,MachineHoursCurrentMeter,ProductSize,state,Drive_System,Enclosure,Forks,Ride_Control,Transmission,Hydraulics,Ripper,Tire_Size,Coupler,Track_Type,Undercarriage_Pad_Width,Stick_Length,Thumb,Pattern_Changer,Grouser_Type,ModelID_ma,fiModelDesc_ma,fiBaseModel_ma,fiSecondaryDesc_ma,fiProductClassDesc_ma,ProductGroup_ma,ProductGroupDesc_ma,MfgYear,fiManufacturerID,fiManufacturerDesc,PrimarySizeBasis,PrimaryLower,saledays
2295049,125000,1528728,136,2,0,4,9,0,3,0,0,4,1,0,0,0,0,0,0,0,0,0,1632,1501,528,69,76,15,15,2004,26,10,1,160.0,39223
1497652,96000,690329,132,16,0,4,14,0,1,0,1,0,1,0,6,0,0,0,0,0,0,0,77,1109,407,34,94,23,22,1994,26,10,1,150.0,36739
2399238,13000,1126182,136,0,0,5,9,0,1,0,0,0,11,0,0,0,1,0,0,0,0,1,29389,2358,950,0,40,12,12,1981,103,43,5,6.0,39495
2452584,13000,1564287,136,1,0,2,23,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,10497,1961,780,0,100,23,22,1989,176,76,1,350.0,39719
6294530,10250,1850211,149,13,0,3,43,0,1,0,0,0,11,0,0,0,2,0,0,2,0,1,11744,2439,1005,48,30,12,12,1996,86,31,5,21.0,40801
1440451,43500,886050,132,7,0,0,1,0,3,1,0,0,1,0,5,2,0,0,0,0,0,0,3783,1089,399,36,92,23,22,1997,26,10,1,120.0,37776
1198577,8500,999347,121,3,0,0,9,0,4,0,0,4,1,0,0,0,0,0,0,0,0,0,4089,1346,509,12,78,15,15,1987,26,10,1,20.0,40218
1531279,48000,1154352,132,2,0,6,35,0,1,0,0,0,11,0,0,0,2,0,0,0,0,1,13359,173,82,12,27,12,12,1986,26,10,5,16.0,34095
2412670,35000,1212994,136,1,0,4,6,0,3,0,0,0,1,0,6,0,0,0,0,0,0,0,607,2749,1209,0,93,23,22,2001,103,43,1,135.0,40043
1790570,10000,1163931,132,20,278,5,4,0,1,0,0,0,4,0,0,0,1,0,0,0,0,1,17241,392,160,36,33,12,12,2004,121,6,5,3.0,40778
1512073,17500,1498503,132,14,0,0,14,0,4,0,0,4,1,0,0,0,0,0,0,0,0,0,7464,1397,522,0,81,15,15,1975,26,10,1,85.0,35508
1666074,14500,1506840,132,7,0,0,1,3,4,0,0,6,0,0,0,0,0,0,0,0,0,0,4988,637,241,12,11,3,3,1987,55,20,4,14.0,35599
1741085,14500,1186986,132,14,0,2,14,0,4,0,0,4,1,0,0,0,0,0,0,0,0,0,5289,1451,533,30,77,15,15,1977,103,43,1,190.0,34466
1799389,9500,1261766,132,1,0,0,43,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,9551,894,313,0,63,11,10,2000,121,6,3,1351.0,39280
1610474,46000,1382098,132,1,0,0,6,0,3,0,0,0,1,0,6,0,0,0,0,0,0,0,4701,611,236,38,92,23,22,1998,43,37,1,120.0,37515
2285664,83000,266557,136,0,0,0,41,0,3,0,0,0,5,0,4,0,0,0,0,0,0,0,3358,41,14,38,50,7,7,2003,26,10,1,130.0,39961
1596897,11000,1106562,132,1,0,0,49,3,4,0,0,6,0,0,0,0,0,0,0,0,0,0,8089,454,187,0,12,3,3,1979,43,37,4,15.0,32768
2265903,25000,1090324,136,1,0,4,6,0,1,0,0,0,1,0,6,0,0,0,0,0,0,0,7277,1105,407,0,94,23,22,1979,26,10,1,150.0,40043
2416896,70000,1383351,136,1,3885,4,17,0,3,0,0,6,1,0,0,0,0,0,0,0,0,0,35802,1446,531,67,75,15,15,2006,103,43,1,130.0,40335
2310716,92500,1782234,136,0,0,6,32,0,3,0,0,0,4,0,0,0,2,0,0,0,0,1,1130,331,145,20,25,12,12,2007,26,10,5,14.0,39919
2297611,57500,27532,136,1,0,4,24,0,4,0,0,4,3,0,0,0,0,0,0,0,0,0,1627,1495,528,60,75,15,15,2005,26,10,1,130.0,40155
1459560,9250,1499995,132,22,0,0,23,0,4,0,0,6,1,0,0,0,0,0,0,0,0,0,7428,1292,509,0,78,15,15,1974,26,10,1,20.0,36998
1439962,26000,324757,132,1,0,0,20,2,1,0,0,6,0,0,0,0,0,0,0,0,0,0,3547,475,192,20,12,3,3,1998,26,10,4,15.0,38158
1317141,39000,1111593,132,4,2848,0,44,0,4,0,0,6,1,0,0,0,0,0,0,0,0,0,4102,1374,518,20,80,15,15,1989,26,10,1,75.0,34836
1641593,27000,1167609,132,1,2036,0,10,0,4,0,0,6,1,0,0,0,0,0,0,0,0,0,4666,538,207,38,78,15,15,2004,43,37,1,20.0,39896
1491521,28500,1323362,132,21,0,0,19,0,4,0,0,6,1,0,0,0,0,0,0,0,0,0,4107,1389,518,38,81,15,15,1987,26,10,1,85.0,35514
